MAPI_MHS_COMMON_NAME 0x3A0F
MAPI_ORGANIZATIONAL_ID_NUMBER 0x3A10
MAPI_SURNAME 0x3A11
MAPI_ORIGINAL_ENTRYID 0x3A12
MAPI_ORIGINAL_DISPLAY_NAME 0x3A13
MAPI_ORIGINAL_SEARCH_KEY 0x3A14
MAPI_POSTAL_ADDRESS 0x3A15
MAPI_COMPANY_NAME 0x3A16
MAPI_TITLE 0x3A17
MAPI_DEPARTMENT_NAME 0x3A18
MAPI_OFFICE_LOCATION 0x3A19
MAPI_PRIMARY_TELEPHONE_NUMBER 0x3A1A
MAPI_BUSINESS2_TELEPHONE_NUMBER 0x3A1B
MAPI_MOBILE_TELEPHONE_NUMBER 0x3A1C
MAPI_RADIO_TELEPHONE_NUMBER 0x3A1D
MAPI_CAR_TELEPHONE_NUMBER 0x3A1E
MAPI_OTHER_TELEPHONE_NUMBER 0x3A1F
MAPI_TRANSMITABLE_DISPLAY_NAME 0x3A20
MAPI_PAGER_TELEPHONE_NUMBER 0x3A21
MAPI_USER_CERTIFICATE 0x3A22
MAPI_PRIMARY_FAX_NUMBER 0x3A23
MAPI_BUSINESS_FAX_NUMBER 0x3A24
MAPI_HOME_FAX_NUMBER 0x3A25
MAPI_COUNTRY 0x3A26
MAPI_LOCALITY 0x3A27
MAPI_STATE_OR_PROVINCE 0x3A28
MAPI_STREET_ADDRESS 0x3A29
MAPI_POSTAL_CODE 0x3A2A
MAPI_POST_OFFICE_BOX 0x3A2B
MAPI_TELEX_NUMBER 0x3A2C
MAPI_ISDN_NUMBER 0x3A2D
MAPI_ASSISTANT_TELEPHONE_NUMBER 0x3A2E
MAPI_HOME2_TELEPHONE_NUMBER 0x3A2F
MAPI_ASSISTANT 0x3A30
MAPI_SEND_RICH_INFO 0x3A40
MAPI_WEDDING_ANNIVERSARY 0x3A41
MAPI_BIRTHDAY 0x3A42
MAPI_HOBBIES 0x3A43
MAPI_MIDDLE_NAME 0x3A44
MAPI_DISPLAY_NAME_PREFIX 0x3A45
MAPI_PROFESSION 0x3A46
MAPI_PREFERRED_BY_NAME 0x3A47
MAPI_SPOUSE_NAME 0x3A48
MAPI_COMPUTER_NETWORK_NAME 0x3A49
MAPI_CUSTOMER_ID 0x3A4A
MAPI_TTYTDD_PHONE_NUMBER 0x3A4B
MAPI_FTP_SITE 0x3A4C
MAPI_GENDER 0x3A4D
MAPI_MANAGER_NAME 0x3A4E
MAPI_NICKNAME 0x3A4F
MAPI_PERSONAL_HOME_PAGE 0x3A50
MAPI_BUSINESS_HOME_PAGE 0x3A51
MAPI_CONTACT_VERSION 0x3A52
MAPI_CONTACT_ENTRYIDS 0x3A53
MAPI_CONTACT_ADDRTYPES 0x3A54
MAPI_CONTACT_DEFAULT_ADDRESS_INDEX 0x3A55
MAPI_CONTACT_EMAIL_ADDRESSES 0x3A56
MAPI_COMPANY_MAIN_PHONE_NUMBER 0x3A57
MAPI_CHILDRENS_NAMES 0x3A58
MAPI_HOME_ADDRESS_CITY 0x3A59
MAPI_HOME_ADDRESS_COUNTRY 0x3A5A
MAPI_HOME_ADDRESS_POSTAL_CODE 0x3A5B
MAPI_HOME_ADDRESS_STATE_OR_PROVINCE 0x3A5C
MAPI_HOME_ADDRESS_STREET 0x3A5D
MAPI_HOME_ADDRESS_POST_OFFICE_BOX 0x3A5E
MAPI_OTHER_ADDRESS_CITY 0x3A5F
MAPI_OTHER_ADDRESS_COUNTRY 0x3A60
MAPI_OTHER_ADDRESS_POSTAL_CODE 0x3A61
MAPI_OTHER_ADDRESS_STATE_OR_PROVINCE 0x3A62
MAPI_OTHER_ADDRESS_STREET 0x3A63
MAPI_OTHER_ADDRESS_POST_OFFICE_BOX 0x3A64
MAPI_SEND_INTERNET_ENCODING 0x3A71
MAPI_STORE_PROVIDERS 0x3D00
MAPI_AB_PROVIDERS 0x3D01
MAPI_TRANSPORT_PROVIDERS 0x3D02
